OAT	PEA	QUADRAT	SOIL
"130,154,80"	"116,148,75"	"254,255,248"	"113,86,43"
"163,181,107"	"89,111,29"	"255,255,250"	"116,89,46"
"164,182,108"	"90,112,30"	"255,255,250"	"91,73,33"
"164,182,106"	"91,112,33"	"255,255,250"	"95,77,37"
"166,158,95"	"214,207,152"	"255,255,251"	"99,81,41"
"163,158,92"	"214,209,153"	"255,255,251"	"148,141,95"
"165,160,94"	"215,210,154"	"255,255,251"	"151,144,98"
"134,141,61"	"159,185,75"	"255,255,251"	"155,148,102"
"135,142,62"	"158,184,74"	"255,255,250"	"86,61,20"
"131,138,60"	"156,182,72"	"255,255,250"	"75,50,9"
"185,168,116"	"220,236,147"	"255,255,250"	"78,53,12"
"183,166,112"	"221,237,148"	"255,255,251"	"45,36,0"
"184,167,113"	"223,239,151"	"255,255,251"	"43,34,0"
"117,127,31"	"207,217,130"	"255,255,251"	"26,17,0"
"119,129,33"	"214,227,139"	"255,255,251"	"151,133,87"
"120,130,34"	"217,230,142"	"255,255,250"	"152,134,88"
"174,181,77"	"193,218,126"	"255,255,250"	"157,139,93"
"173,182,75"	"182,207,116"	"255,255,250"	"20,0,0"
"174,183,76"	"145,170,79"	"255,255,251"	"21,0,0"
"136,146,49"	"192,207,112"	"255,255,251"	"20,0,0"
"141,153,55"	"171,186,93"	"255,255,251"	"30,4,0"
"141,153,55"	"157,172,79"	"255,255,251"	"45,19,0"
"165,149,98"	"136,161,78"	"255,255,251"	"42,16,0"
"166,150,99"	"129,154,71"	"255,255,251"	"170,136,98"
"166,150,98"	"124,147,65"	"255,255,251"	"156,122,84"
"171,192,117"	"138,150,52"	"255,255,251"	"153,119,81"
"171,192,117"	"136,148,50"	"255,255,251"	"177,162,123"
"170,191,114"	"135,146,50"	"255,255,251"	"178,163,124"
"139,162,84"	"119,147,63"	"255,255,251"	"179,164,125"
"139,162,84"	"117,145,61"	"255,255,251"	"85,69,36"
"138,161,81"	"115,140,57"	"255,255,251"	"85,69,36"
"126,150,74"	"168,194,95"	"255,255,251"	"91,75,42"
"126,150,74"	"177,203,104"	"255,255,251"	"124,99,59"
"122,146,70"	"181,207,110"	"255,255,251"	"122,94,55"
"165,174,69"	"160,185,94"	"255,255,251"	"127,99,60"
"163,172,67"	"157,182,91"	"255,255,251"	"72,46,13"
"166,175,70"	"156,181,90"	"255,255,251"	"55,29,0"
"148,175,96"	"132,156,72"	"255,255,251"	"89,63,30"
"155,182,103"	"132,156,72"	"255,255,251"	"39,13,0"
"156,183,104"	"134,159,75"	"255,255,251"	"62,36,3"
"140,155,72"	"162,174,72"	"255,255,251"	"64,38,5"
"138,153,70"	"172,187,84"	"255,255,251"	"97,77,40"
"133,148,65"	"178,193,92"	"255,255,251"	"82,62,25"
"114,127,39"	"178,190,118"	"255,255,251"	"132,112,75"
"114,127,39"	"178,190,118"	"255,255,251"	"38,22,0"
"114,127,39"	"178,190,118"	"255,255,251"	"34,18,0"
"128,121,53"	"243,255,166"	"255,255,251"	"33,17,0"
"125,118,50"	"242,255,167"	"255,255,251"	"136,128,91"
"123,116,48"	"241,254,166"	"255,255,251"	"134,126,89"
"129,142,72"	"182,206,132"	"255,255,251"	"134,126,89"
"123,136,66"	"180,204,130"	"229,239,230"	"165,141,113"
"126,139,69"	"172,196,122"	"227,237,228"	"166,142,114"
"165,171,99"	"206,219,173"	"225,235,226"	"164,140,112"
"164,170,98"	"208,221,175"	"226,236,227"	"162,138,110"
"164,170,98"	"208,221,175"	"229,239,230"	"160,136,108"
"169,183,104"	"156,177,112"	"229,239,230"	"158,134,106"
"167,181,102"	"155,176,111"	"228,238,229"	"160,136,108"
"163,177,98"	"158,179,114"	"250,255,249"	"176,151,121"
"235,213,172"	"208,228,179"	"251,255,250"	"177,152,122"
"243,221,182"	"225,245,196"	"252,255,251"	"176,151,121"
"238,216,177"	"220,240,191"	"252,255,251"	"179,154,124"
"201,160,106"	"77,101,65"	"251,255,251"	"177,152,122"
"191,150,96"	"98,122,86"	"251,255,251"	"177,152,122"
"181,140,86"	"109,133,97"	"251,255,251"	"179,154,124"
"162,175,105"	"164,179,114"	"229,235,221"	"164,137,108"
"163,176,106"	"157,172,107"	"231,237,223"	"161,134,105"
"160,173,103"	"149,164,99"	"233,239,225"	"157,130,101"
"158,173,92"	"217,222,181"	"233,239,225"	"161,134,105"
"163,176,96"	"219,224,183"	"229,235,221"	"160,133,104"
"161,174,94"	"212,217,176"	"225,231,217"	"154,127,97"
"163,158,66"	"141,158,114"	"221,227,213"	"140,113,83"
"168,163,71"	"138,155,111"	"231,241,232"	"143,116,89"
"169,164,73"	"142,159,115"	"230,240,231"	"144,117,90"
"121,139,57"	"142,160,110"	"230,240,231"	"143,116,89"
"123,141,59"	"137,155,107"	"230,240,231"	"139,112,85"
"124,142,60"	"126,144,94"	"230,240,231"	"132,105,78"
"164,179,76"	"128,144,107"	"229,239,230"	"128,101,74"
"163,178,75"	"124,140,103"	"228,238,229"	"131,104,77"
"162,177,72"	"121,139,101"	"252,255,251"	"147,121,96"
"165,177,115"	"170,195,153"	"252,255,251"	"146,120,95"
"168,180,118"	"175,200,158"	"252,255,251"	"147,121,96"
"182,190,131"	"153,178,136"	"252,255,251"	"150,124,99"
"165,177,115"	"165,187,123"	"251,255,251"	"152,126,101"
"168,180,118"	"165,187,123"	"251,255,251"	"150,124,99"
"182,190,131"	"163,185,121"	"251,255,251"	"146,120,95"
"165,177,115"	"127,143,94"	"234,240,230"	"141,112,82"
"168,180,118"	"200,216,167"	"234,240,230"	"139,110,80"
"182,190,131"	"220,236,187"	"235,241,231"	"138,109,79"
"202,170,131"	"134,152,102"	"233,239,229"	"139,110,80"
"194,162,123"	"121,139,91"	"231,237,227"	"139,110,80"
"185,153,114"	"118,136,88"	"230,236,226"	"139,110,80"
"139,127,79"	"150,169,123"	"229,235,225"	"142,113,83"
"135,122,77"	"142,161,115"	"235,245,236"	"132,109,78"
"163,150,105"	"137,156,110"	"232,242,233"	"130,107,76"
"144,151,83"	"147,163,116"	"230,240,231"	"130,107,76"
"141,148,80"	"122,138,91"	"232,242,233"	"130,104,77"
"138,145,77"	"138,154,107"	"233,243,234"	"130,104,77"
"147,152,86"	"93,110,58"	"231,241,232"	"130,104,77"
"139,144,78"	"96,110,59"	"229,239,230"	"131,105,78"
"142,147,81"	"97,111,60"	"252,255,251"	"144,124,99"
"181,169,119"	"246,255,208"	"252,255,251"	"141,121,96"
"190,178,128"	"249,255,211"	"252,255,251"	"141,121,96"
"217,203,156"	"244,255,206"	"252,255,251"	"142,122,97"
"187,153,118"	"181,191,141"	"252,255,253"	"139,119,94"
"191,157,122"	"175,185,135"	"252,255,253"	"134,114,89"
"181,147,112"	"177,185,136"	"252,255,253"	"131,111,86"
"204,181,139"	"239,248,195"	"231,236,229"	"150,133,105"
"199,176,134"	"221,231,179"	"232,237,230"	"148,131,103"
"180,157,115"	"190,200,148"	"233,238,231"	"150,133,105"
"169,182,113"	"141,154,110"	"233,238,231"	"155,138,110"
"167,180,111"	"148,161,117"	"233,238,231"	"158,141,113"
"167,180,111"	"166,179,135"	"234,239,232"	"160,143,115"
"127,143,81"	"194,209,166"	"233,240,232"	"162,145,117"
"127,143,81"	"193,208,165"	"234,244,235"	"140,116,88"
"127,143,81"	"191,204,161"	"233,243,234"	"139,115,87"
"171,170,90"	"228,246,196"	"233,243,234"	"141,117,89"
"168,167,87"	"233,251,201"	"234,244,235"	"144,120,92"
"164,165,85"	"232,250,200"	"234,244,235"	"146,122,94"
"156,165,84"	"147,169,130"	"231,241,232"	"147,123,95"
"151,160,79"	"147,169,131"	"229,239,230"	"147,123,95"
"149,158,77"	"149,171,133"	"252,255,251"	"167,141,114"
"139,153,76"	"209,231,193"	"252,255,251"	"166,142,114"
"138,152,75"	"177,199,161"	"252,255,251"	"163,139,111"
"137,151,74"	"167,189,151"	"252,255,251"	"161,137,109"
"172,190,106"	"244,255,228"	"251,255,252"	"161,137,109"
"169,187,103"	"244,255,228"	"251,255,252"	"160,136,108"
"168,186,102"	"241,255,225"	"252,255,253"	"162,138,110"
"161,179,61"	"159,184,144"	"237,242,236"	"175,150,120"
"162,180,62"	"152,177,137"	"236,241,235"	"178,153,123"
"167,185,67"	"151,176,136"	"235,240,234"	"179,154,124"
"132,149,78"	"205,226,185"	"233,238,232"	"181,156,126"
"129,146,75"	"165,188,146"	"233,238,232"	"179,154,124"
"125,143,69"	"171,193,154"	"234,239,233"	"178,153,123"
"230,231,165"	"137,168,111"	"235,242,235"	"179,154,124"
"241,242,176"	"139,170,113"	"236,246,237"	"169,142,113"
"243,244,178"	"140,171,114"	"236,246,237"	"167,140,111"
"161,155,93"	"224,240,193"	"235,245,236"	"163,136,107"
"148,142,80"	"149,165,118"	"235,245,236"	"160,133,104"
"138,132,70"	"87,103,54"	"235,245,236"	"157,130,101"
"177,184,107"	"153,179,134"	"234,244,235"	"148,121,91"
"178,185,108"	"160,183,139"	"233,243,234"	"132,105,75"
"175,181,109"	"168,191,145"	"252,255,253"	"149,122,95"
"190,151,96"	"190,203,157"	"252,255,253"	"148,121,94"
"185,146,91"	"190,203,157"	"252,255,253"	"144,117,90"
"180,143,88"	"189,202,156"	"252,255,253"	"138,111,84"
"112,125,46"	"232,252,203"	"252,255,253"	"129,102,75"
"103,116,37"	"208,228,179"	"252,255,253"	"124,97,70"
"111,124,45"	"169,192,140"	"252,255,253"	"128,101,74"
"112,125,46"	"181,205,157"	"243,248,242"	"148,122,97"
"103,116,37"	"224,248,198"	"242,247,241"	"147,121,96"
"111,124,45"	"236,255,210"	"240,245,241"	"148,122,97"
"141,146,66"	"187,196,153"	"240,245,241"	"151,125,100"
"144,149,69"	"193,202,159"	"241,246,242"	"153,127,102"
"135,140,60"	"229,240,197"	"242,247,243"	"150,124,99"
"118,150,74"	"160,178,136"	"242,247,243"	"146,120,95"
"118,150,74"	"172,190,148"	"239,249,240"	"143,114,84"
"116,148,72"	"186,204,162"	"239,249,240"	"141,112,82"
"139,175,77"	"152,158,110"	"238,248,239"	"139,110,80"
"137,173,75"	"159,161,114"	"238,248,239"	"138,109,79"
"137,173,73"	"168,167,123"	"238,248,239"	"139,110,80"
"126,174,98"	"234,234,182"	"237,247,238"	"140,111,81"
"129,175,100"	"236,236,184"	"236,246,237"	"142,113,83"
"129,175,100"	"243,243,191"	"252,255,253"	"132,109,78"
"140,175,83"	"230,248,206"	"252,255,253"	"128,105,74"
"138,173,81"	"236,254,212"	"252,255,253"	"125,102,71"
"142,178,88"	"239,255,215"	"252,255,253"	"124,98,71"
"181,220,141"	"186,217,175"	"252,255,253"	"124,98,71"
"181,220,141"	"193,221,180"	"252,255,253"	"125,99,72"
"176,217,138"	"170,198,157"	"252,255,253"	"128,102,75"
"125,164,83"	"186,208,159"	"248,253,247"	"143,123,98"
"120,159,78"	"185,207,158"	"247,252,246"	"142,122,97"
"119,158,77"	"184,206,157"	"246,251,247"	"142,122,97"
"183,213,125"	"135,164,106"	"246,251,247"	"142,122,97"
"182,212,124"	"139,168,112"	"247,252,248"	"140,120,95"
"182,215,124"	"149,178,122"	"248,253,249"	"135,115,90"
"128,162,76"	"177,197,110"	"248,253,249"	"131,111,86"
"129,163,77"	"176,196,111"	"240,250,242"	"144,127,99"
"130,164,77"	"175,195,110"	"240,250,242"	"146,129,101"
"175,212,116"	"150,174,50"	"239,249,241"	"150,133,105"
"172,209,114"	"155,179,55"	"239,249,241"	"155,138,110"
"171,208,113"	"161,185,61"	"240,250,242"	"159,142,114"
"161,193,94"	"183,207,113"	"239,249,241"	"162,145,117"
"162,194,95"	"183,207,113"	"239,249,241"	"164,147,119"
"161,193,92"	"184,208,114"	"252,255,253"	"143,119,91"
"148,173,79"	"133,161,61"	"252,255,253"	"144,120,92"
"146,171,79"	"133,161,59"	"252,255,253"	"145,121,93"
"146,171,79"	"134,162,59"	"252,255,253"	"146,122,94"
"171,199,114"	"142,172,72"	"252,255,253"	"147,123,95"
"159,187,102"	"140,170,70"	"252,255,253"	"148,124,96"
"155,183,98"	"139,169,69"	"252,255,253"	"148,124,96"
"132,175,83"	"222,236,148"	"250,255,249"	"167,141,114"
"132,173,81"	"222,236,148"	"249,254,248"	"167,143,115"
"133,174,82"	"224,238,150"	"249,254,250"	"164,140,112"
"156,187,120"	"133,156,76"	"249,254,250"	"161,137,109"
"155,186,119"	"126,149,69"	"250,255,251"	"162,138,110"
"153,184,117"	"128,151,71"	"251,255,252"	"161,137,109"
"192,162,108"	"114,146,71"	"251,255,252"	"162,138,110"
"191,161,107"	"115,147,72"		"177,152,122"
"180,150,96"	"117,147,73"		"179,154,124"
"136,158,85"	"85,106,27"		"180,155,125"
"137,159,84"	"84,105,26"		"177,152,122"
"139,161,86"	"89,110,31"		"176,151,121"
"168,197,104"	"218,209,154"		"177,152,122"
"167,199,102"	"214,207,152"		"178,153,123"
"168,200,103"	"217,210,155"		"163,136,107"
"169,206,129"	"156,182,72"		"164,137,108"
"169,206,129"	"157,183,73"		"159,132,103"
"170,207,130"	"157,184,71"		"152,125,96"
"137,181,83"	"219,235,146"		"138,111,82"
"138,182,84"	"220,236,147"		"142,115,85"
"138,182,84"	"221,237,149"		"106,79,49"
"178,214,140"	"221,231,144"		"153,126,99"
"180,217,140"	"226,239,151"		"151,124,97"
"180,217,140"	"224,237,149"		"147,120,93"
"136,180,85"	"199,224,133"		"141,114,87"
"137,181,86"	"188,213,122"		"131,104,77"
"137,181,86"	"151,176,85"		"127,100,73"
"143,176,61"	"187,202,109"		"131,104,77"
"146,179,66"	"162,177,84"		"150,124,99"
"146,179,66"	"161,176,83"		"147,121,96"
"145,179,93"	"127,152,71"		"148,122,97"
"146,179,92"	"110,135,54"		"151,125,100"
"146,179,92"	"96,119,39"		"153,127,102"
"179,215,141"	"136,150,53"		"150,124,99"
"177,213,139"	"135,149,52"		"147,121,96"
"175,211,137"	"133,147,50"		"145,116,86"
"145,178,91"	"117,144,63"		"144,115,85"
"154,184,98"	"115,142,61"		"142,113,83"
"148,178,92"	"112,139,58"		"142,113,83"
"158,170,108"	"137,165,65"		"142,113,83"
"162,172,111"	"148,176,76"		"143,114,84"
"162,174,112"	"160,187,90"		"144,115,85"
"168,190,125"	"163,188,97"		"129,106,75"
"166,188,123"	"159,184,93"		"123,100,69"
"162,184,119"	"158,183,92"		"119,96,65"
"186,207,150"	"130,155,71"		"118,92,65"
"187,208,151"	"130,155,71"		"119,93,66"
"183,207,149"	"132,157,73"		"123,97,70"
"162,181,117"	"130,142,40"		"127,101,74"
"161,180,116"	"145,160,57"		"144,124,99"
"162,181,117"	"172,187,86"		"144,124,99"
"153,156,101"	"174,186,114"		"143,123,98"
"155,158,103"	"171,183,111"		"140,120,95"
"153,156,101"	"171,183,111"		"138,118,93"
"182,190,141"	"249,255,172"		"136,116,91"
"180,188,139"	"245,255,170"		"134,114,89"
"181,191,141"	"244,255,169"		"147,130,102"
"164,175,106"	"178,202,128"		"147,130,102"
"165,176,107"	"171,195,121"		"151,134,106"
"166,177,108"	"147,171,97"		"157,140,112"
"213,197,146"	"205,218,172"		"161,144,116"
"204,188,136"	"206,219,173"		"163,146,118"
"198,185,132"	"208,221,175"		"166,149,121"
"174,193,137"	"159,180,115"		"146,122,94"
"175,194,138"	"159,180,115"		"147,123,95"
"175,194,138"	"162,183,118"		"147,123,95"
"175,197,125"	"210,230,181"		"146,122,94"
"177,199,127"	"227,247,198"		"146,122,94"
"176,198,126"	"222,242,193"		"146,122,94"
"165,173,132"	"106,130,94"		"146,122,94"
"165,173,134"	"113,137,101"		"170,144,117"
"160,168,129"	"113,137,101"		"168,142,115"
"158,177,111"	"168,183,118"		"165,139,112"
"158,177,111"	"164,179,114"		"160,134,107"
"158,177,111"	"161,176,111"		"160,134,107"
"177,189,123"	"225,230,189"		"162,136,109"
"174,186,120"	"226,231,190"		"162,136,109"
"174,186,120"	"228,233,192"		"180,155,125"
"156,167,107"	"154,171,127"		"179,154,124"
"155,166,106"	"141,158,114"		"178,153,123"
"155,166,106"	"136,153,109"		"178,153,123"
"158,167,122"	"139,157,109"		"178,153,123"
"154,166,120"	"135,153,105"		"180,155,125"
"150,162,116"	"127,145,97"		"181,156,126"
"140,145,91"	"118,134,97"		"153,126,97"
"142,147,93"	"117,133,96"		"154,127,98"
"138,146,89"	"117,135,97"		"149,122,93"
"173,182,119"	"151,176,134"		"145,118,89"
"172,181,116"	"152,177,135"		"138,111,82"
"177,186,119"	"140,165,123"		"123,96,67"
"138,154,89"	"162,184,120"		"112,85,56"
"146,162,97"	"164,186,122"		"153,126,99"
"134,150,85"	"164,186,122"		"152,125,98"
"179,177,128"	"69,85,36"		"150,123,96"
"127,125,76"	"149,165,116"		"145,118,91"
"157,155,106"	"206,222,173"		"138,111,84"
"191,211,152"	"133,151,103"		"134,107,80"
"190,210,151"	"124,141,96"		"133,106,79"
"189,209,150"	"122,139,94"		"153,127,102"
"169,189,130"	"142,161,115"		"151,125,100"
"168,188,129"	"144,163,117"		"149,123,98"
"168,188,129"	"141,160,114"		"151,125,100"
"170,182,120"	"155,171,124"		"151,125,100"
"169,181,119"	"123,139,92"		"151,125,100"
"167,179,117"	"130,146,99"		"153,127,102"
"181,191,141"	"96,113,61"		"146,117,87"
"181,191,141"	"100,114,63"		"146,117,87"
"185,193,144"	"100,114,63"		"145,116,86"
"171,194,142"	"238,255,200"		"146,117,87"
"170,193,141"	"240,255,202"		"145,116,86"
"171,194,142"	"242,255,204"		"145,116,86"
"173,183,133"	"183,193,143"		"145,116,86"
"171,181,131"	"178,188,138"		"125,102,71"
"175,183,134"	"186,194,145"		"121,98,67"
"151,166,101"	"223,232,179"		"116,93,62"
"151,166,101"	"204,214,161"		"116,93,62"
"156,168,102"	"188,201,148"		"118,95,64"
"166,178,132"	"144,157,113"		"120,97,66"
"169,181,135"	"140,153,109"		"123,100,69"
"167,179,133"	"145,158,114"		"146,126,101"
"178,188,138"	"190,205,162"		"143,123,98"
"193,203,153"	"188,203,160"		"142,122,97"
"204,214,164"	"190,203,160"		"143,123,98"
"159,175,104"	"225,243,193"		"139,119,94"
"157,173,102"	"223,241,191"		"136,116,91"
"158,174,103"	"232,250,200"		"136,116,91"
"180,190,121"	"145,167,128"		"150,133,105"
"177,187,118"	"144,166,128"		"150,133,105"
"178,187,120"	"147,169,131"		"152,135,107"
"169,157,119"	"222,244,206"		"158,141,113"
"162,150,112"	"204,226,188"		"161,144,116"
